Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	diversification	extant_mrca	extinction_rate	speciation_rate	turnover
232	0	-5878.154	-5862.208	-15.94631	1.842953	-0.5529941	1.855392	0.6394775	0.08648343	7.39422
233	1	-5873.403	-5862.138	-11.26504	1.852476	-0.06917566	1.852478	0.08101671	0.01184106	6.842018
234	0	-5877.499	-5864.027	-13.4712	1.842953	0.2631229	1.862663	0.06759734	0.3307203	0.2043943
235	1	-5880.862	-5861.122	-19.74033	1.852476	-1.050596	1.852478	1.124875	0.07427905	15.1439
236	0	-5875.562	-5864.235	-11.32703	1.842953	0.03679052	1.852202	0.03221149	0.06900201	0.4668196
237	1	-5875.359	-5863.019	-12.33943	1.852476	0.04718078	1.862581	0.09717613	0.1443569	0.6731658
238	0	-5876.631	-5862.814	-13.81717	1.842953	-0.1887597	1.861551	0.3153729	0.1266132	2.490838
239	1	-5873.002	-5862.035	-10.96718	1.852476	0.001381343	1.866158	0.02036794	0.02174928	0.9364879
240	0	-5882.8	-5868.262	-14.53762	1.842953	0.5056716	1.847827	0.02200476	0.5276764	0.04170124
241	1	-5872.588	-5861.534	-11.05431	1.852476	0.02470138	1.852634	0.01836887	0.04307026	0.4264863
